epoch,accuracy,loss,val_accuracy,val_loss
0,0.38527539372444153,1.3257840871810913,0.46685880422592163,1.2639638185501099
1,0.6639911532402039,0.9728305339813232,0.6628242135047913,0.913259744644165
2,0.792969822883606,0.5784130692481995,0.6887608170509338,0.7987670302391052
3,0.844173789024353,0.4193081855773926,0.6916426420211792,0.7937442660331726
4,0.8776639699935913,0.3368806540966034,0.6887608170509338,0.8789160251617432
5,0.9083864092826843,0.2714614272117615,0.6916426420211792,0.90388423204422
6,0.9258233904838562,0.22232958674430847,0.6858789920806885,0.9850360155105591
7,0.9360641837120056,0.1910916417837143,0.6829971075057983,1.0262571573257446
8,0.9518405795097351,0.15563753247261047,0.6628242135047913,1.1134334802627563
9,0.9570993781089783,0.1357550173997879,0.6657060384750366,1.2223225831985474
10,0.9631884694099426,0.12161069363355637,0.6772334575653076,1.2647405862808228
11,0.9681705236434937,0.10725561529397964,0.6685879230499268,1.295176386833191
12,0.9698311686515808,0.09762656688690186,0.6685879230499268,1.3362767696380615
13,0.9698311686515808,0.09849603474140167,0.6570605039596558,1.404381513595581
14,0.972875714302063,0.08235520869493484,0.6426513195037842,1.4222279787063599
15,0.973706066608429,0.08163289725780487,0.6570605039596558,1.5025924444198608
16,0.9748131632804871,0.07534191757440567,0.6570605039596558,1.5801746845245361
17,0.975643515586853,0.07937402278184891,0.6714697480201721,1.5680105686187744
18,0.9775809645652771,0.07051712274551392,0.6484149694442749,1.663077473640442
19,0.973706066608429,0.07282563298940659,0.6599423885345459,1.6791895627975464
20,0.976473867893219,0.06666218489408493,0.6570605039596558,1.6957072019577026
21,0.976473867893219,0.06798940896987915,0.6541786789894104,1.738183856010437
22,0.975643515586853,0.06709420680999756,0.6455331444740295,1.7093172073364258
23,0.9767506122589111,0.06449346989393234,0.6484149694442749,1.7566449642181396
24,0.9797951579093933,0.059905774891376495,0.6368876099586487,1.8159143924713135
